num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
132,0.8409,0.9136,0.8485,0.918,0.8561,0.9224,0.8561,0.9224,0.8333,0.9091
133,0.8421,0.9143,0.8496,0.9187,0.8571,0.9231,0.8571,0.9231,0.8346,0.9098
134,0.8358,0.9106,0.8433,0.915,0.8582,0.9237,0.8582,0.9237,0.8284,0.9061
135,0.837,0.9113,0.8444,0.9157,0.8593,0.9243,0.8593,0.9243,0.8296,0.9069
136,0.8382,0.912,0.8382,0.912,0.8603,0.9249,0.8603,0.9249,0.8309,0.9076
137,0.8394,0.9127,0.8321,0.9084,0.854,0.9213,0.854,0.9213,0.8248,0.904
138,0.8406,0.9134,0.8333,0.9091,0.8551,0.9219,0.8551,0.9219,0.8261,0.9048
139,0.8417,0.9141,0.8345,0.9098,0.8489,0.9183,0.8489,0.9183,0.8201,0.9012
140,0.8429,0.9147,0.8357,0.9105,0.85,0.9189,0.85,0.9189,0.8214,0.902
141,0.844,0.9154,0.8369,0.9112,0.8511,0.9195,0.8511,0.9195,0.8227,0.9027
142,0.8451,0.916,0.838,0.9119,0.8521,0.9202,0.8521,0.9202,0.8239,0.9035
143,0.8392,0.9125,0.8392,0.9125,0.8531,0.9208,0.8531,0.9208,0.8252,0.9042
144,0.8403,0.9132,0.8333,0.9091,0.8542,0.9213,0.8542,0.9213,0.8264,0.9049
145,0.8414,0.9139,0.8345,0.9098,0.8483,0.9179,0.8483,0.9179,0.8207,0.9015
146,0.8356,0.9104,0.8288,0.9064,0.8493,0.9185,0.8493,0.9185,0.8219,0.9023
147,0.8367,0.9111,0.8299,0.9071,0.8503,0.9191,0.8503,0.9191,0.8231,0.903
148,0.8311,0.9077,0.8311,0.9077,0.8514,0.9197,0.8514,0.9197,0.8243,0.9037
149,0.8322,0.9084,0.8255,0.9044,0.8456,0.9164,0.8456,0.9164,0.8188,0.9004
150,0.8333,0.9091,0.82,0.9011,0.8467,0.917,0.8467,0.917,0.82,0.9011
151,0.8278,0.9058,0.8146,0.8978,0.8477,0.9176,0.8477,0.9176,0.8146,0.8978
152,0.8224,0.9025,0.8158,0.8986,0.8487,0.9181,0.8487,0.9181,0.8092,0.8945
153,0.8235,0.9032,0.8105,0.8953,0.8497,0.9187,0.8497,0.9187,0.8039,0.8913
154,0.8182,0.9,0.8117,0.8961,0.8506,0.9193,0.8506,0.9193,0.7987,0.8881
155,0.8194,0.9007,0.8065,0.8929,0.8516,0.9199,0.8516,0.9199,0.8,0.8889
156,0.8205,0.9014,0.8077,0.8936,0.8526,0.9204,0.8526,0.9204,0.7949,0.8857
157,0.8217,0.9021,0.8089,0.8944,0.8535,0.921,0.8535,0.921,0.7962,0.8865
158,0.8228,0.9028,0.8101,0.8951,0.8544,0.9215,0.8544,0.9215,0.7975,0.8873
159,0.8239,0.9034,0.805,0.892,0.8553,0.922,0.8553,0.922,0.7925,0.8842
160,0.825,0.9041,0.8062,0.8927,0.8562,0.9226,0.8562,0.9226,0.7938,0.885
161,0.8199,0.901,0.8075,0.8935,0.8571,0.9231,0.8571,0.9231,0.7888,0.8819
162,0.821,0.9017,0.8025,0.8904,0.858,0.9236,0.858,0.9236,0.7901,0.8828
163,0.816,0.8986,0.8037,0.8912,0.8589,0.9241,0.8589,0.9241,0.7914,0.8836
164,0.8171,0.8993,0.8049,0.8919,0.8598,0.9246,0.8598,0.9246,0.7866,0.8805
165,0.8182,0.9,0.8061,0.8926,0.8606,0.9251,0.8606,0.9251,0.7879,0.8814
166,0.8193,0.9007,0.8072,0.8933,0.8614,0.9256,0.8614,0.9256,0.7831,0.8784
167,0.8204,0.9013,0.8084,0.894,0.8563,0.9226,0.8563,0.9226,0.7844,0.8792
168,0.8214,0.902,0.8095,0.8947,0.8571,0.9231,0.8571,0.9231,0.7857,0.88
169,0.8166,0.899,0.8107,0.8954,0.8521,0.9201,0.8521,0.9201,0.7811,0.8771
170,0.8176,0.8997,0.8118,0.8961,0.8529,0.9206,0.8529,0.9206,0.7824,0.8779
171,0.8129,0.8968,0.8129,0.8968,0.8538,0.9211,0.8538,0.9211,0.7836,0.8787
172,0.8081,0.8939,0.814,0.8974,0.8488,0.9182,0.8488,0.9182,0.7849,0.8795
173,0.8092,0.8946,0.815,0.8981,0.8497,0.9188,0.8497,0.9188,0.7861,0.8803
174,0.8103,0.8952,0.8103,0.8952,0.8506,0.9193,0.8506,0.9193,0.7874,0.881
175,0.8114,0.8959,0.8114,0.8959,0.8514,0.9198,0.8514,0.9198,0.7886,0.8818
176,0.8125,0.8966,0.8068,0.8931,0.8523,0.9202,0.8523,0.9202,0.7841,0.879
